S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
30112,"""501309046""",3,300112,"""中成成功""",台南市北區,"""成功路114號""","""22.99848""","""120.20542""",2.0
30113,"""501309047""",3,300113,"""文賢國中""",台南市北區,"""文賢路292巷117號(東南側)""","""23.00639""","""120.19649""",2.0
30114,"""501309049""",3,300114,"""長勝長榮路口""",台南市北區,"""長勝路5號前""","""23.00944""","""120.22022""",2.0
30115,"""501309051""",3,300115,"""元成公園""",台南市北區,"""文賢 二街205號""","""23.01563""","""120.19688""",2.0
30116,"""501309053""",3,300116,"""北成公園""",台南市北區,"""北成路38巷2號對側""","""23.01906""","""120.21088""",2.0
30117,"""501310001""",3,300117,"""左鎮化石園區""",台南市左鎮區,"""左鎮區61-23號南側""","""23.06361""","""120.38913""",37.0
30118,"""501311001""",3,300118,"""永康車站""",台南市永康區,"""中山路536巷內""","""23.03861526""","""120.2541311""",22.0
30119,"""501311002""",3,300119,"""臺南市立圖書館""",台南市永康區,"""康橋大道255號""","""23.02506""","""120.23797""",22.0
30120,"""501311004""",3,300120,"""南大附中""",台南市永康區,"""中山南路948號""","""23.0237809""","""120.2528907""",22.0
30121,"""501311005""",3,300121,"""小橋公園""",台南市永康區,"""東橋十街3號南側""","""23.02246""","""120.23360""",22.0
30122,"""501311006""",3,300122,"""國立成功大學附屬南工""",台南市永康區,"""中山南路193號""","""23.01458""","""120.23412""",22.0
30123,"""501311008""",3,300123,"""龍中公園""",台南市永康區,"""永大路三段618巷/八德街88巷口""","""23.03850""","""120.26060""",22.0
30124,"""501311009""",3,300124,"""南臺科技大學(第三男子宿舍)""",台南市永康區,"""南台街75巷口(東北側)""","""23.02265""","""120.22213""",22.0
30125,"""501311013""",3,300125,"""臺南應用科技大學""",台南市永康區,"""中正路882號對側""","""23.03919""","""120.23957""",22.0
30126,"""501311014""",3,300126,"""臺南應用科技大學(後門)""",台南市永康區,"""正南五街/中正六街口(南側)""","""23.03627""","""120.23742""",22.0
30127,"""501311015""",3,300127,"""探索教育公園(永平街)""",台南市永康區,"""永平街427號對側""","""23.02176""","""120.25917""",22.0
30128,"""501311016""",3,300128,"""奇美醫院(中華路)""",台南市永康區,"""中華路901號""","""23.02082""","""120.22230""",22.0
30129,"""501311017""",3,300129,"""台1線正南八街口""",台南市永康區,"""正南八街1號""","""23.03828""","""120.23324""",22.0
30130,"""501311020""",3,300130,"""大橋三街(活動中心)""",台南市永康區,"""大橋三街230號南側""","""23.02054""","""120.22876""",22.0
30131,"""501311021""",3,300131,"""祥合公園(勝學路)""",台南市永康區,"""中華二路379巷12號東南側""","""23.00792""","""120.23165""",22.0
30132,"""501311022""",3,300132,"""永康勝利國小""",台南市永康區,"""勝學路111號""","""23.00357""","""120.23087""",22.0
30133,"""501311023""",3,300133,"""永康臨時轉運站""",台南市永康區,"""永運路150號北側""","""23.04481""","""120.24971""",22.0
30134,"""501311024""",3,300134,"""三村國小""",台南市永康區,"""鹽行路2號""","""23.04158""","""120.23719""",22.0
30135,"""501311025""",3,300135,"""大橋車站(北側)""",台南市永康區,"""中華路835號北側""","""23.01972""","""120.22432""",22.0
30136,"""501311026""",3,300136,"""大橋車站(南側)""",台南市永康區,"""中華路817號北側""","""23.01930""","""120.22486""",22.0
30137,"""501311027""",3,300137,"""復華七國華街口""",台南市永康區,"""國華街110號""","""23.01461""","""120.24684""",22.0
30138,"""501311028""",3,300138,"""永康國小""",台南市永康區,"""中山南路637號""","""23.02569""","""120.25575""",22.0
30139,"""501311029""",3,300139,"""永康拖吊場""",台南市永康區,"""永大五路1號""","""23.02054""","""120.26159""",22.0
30140,"""501311030""",3,300140,"""西灣里滯洪池""",台南市永康區,"""永大路二段451號""","""23.01561""","""120.26319""",22.0
30141,"""501311031""",3,300141,"""大灣國小""",台南市永康區,"""大灣路283號""","""23.00601""","""120.26716""",22.0
30142,"""501311032""",3,300142,"""大灣高中(文賢街)""",台南市永康區,"""文賢街68巷1號西側""","""23.00709""","""120.27174""",22.0
30143,"""501311033""",3,300143,"""忠義街44巷""",台南市永康區,"""忠義街44巷46號北側""","""22.99996""","""120.23772""",22.0
