R_ID,Title,Type,ReviewsCount,Score,Location_ID
449,楠西福來梅仔雞創始老店-台南 必吃美食 薑黃雞 砂鍋魚頭 水庫魚虎 筍殼魚 特色台式合菜餐廳 團體聚餐 婚宴喜慶場地 首選推薦,43,856,3.7,1000449
450,湖南牛肉麵,3,56,3.9,1000450
451,東方美早餐店,2,124,4.3,1000451
452,福隆錦宴餐廳(白河),9,83,4.1,1000452
453,東原 肉圓 米糕,9,13,4.9,1000453
454,蔥抓餅店,2,1,5.0,1000454
455,東原 古早麵(一筒山產行 古早味麵店),3,3,3.7,1000455
456,梅花飯店水庫店,7,793,4.5,1000456
457,東原 豆菜麵老店,23,10,4.9,1000457
458,尤家煎餅,2,13,5.0,1000458
459,174橫路東山休息站,9,86,4.4,1000459
460,台南欽仔小吃,6,7,4.3,1000460
461,紫薇園生態農場,6,82,4.5,1000461
462,雅品桶仔雞（外帶）,6,81,4.3,1000462
463,大廟口水煎包,2,16,4.4,1000463
464,豐海鮮漁府,20,1398,4.2,1000464
465,阿宗快炒,9,53,4.2,1000465
466,菇morning蔬食餐飲連鎖-佳里店（店休日請看臉書）,23,101,4.3,1000466
467,HERO JAYA (TOKO INDO) 宏豐 印尼店,46,28,4.6,1000467
468,品豪平價小火鍋麻辣鍋,21,193,3.7,1000468
469,喬比Chubby鬆餅，蛋餅舖,2,12,3.9,1000469
470,早安美芝城佳里活力新生,2,57,4.3,1000470
471,呷尚寶-佳里店,2,136,4.4,1000471
472,順福土產牛肉湯,7,1597,4.3,1000472
473,金盃美而美（東山店）,2,14,5.0,1000473
474,素人麵線,2,6,4.8,1000474
475,誠意豆菜麵,2,1,5.0,1000475
476,晨間廚房早午餐東山中興店/蛋餅/早餐/麵/東山農會,23,36,3.8,1000476
477,盛齋素食館,25,5,4.8,1000477
478,張記東山肉圓,7,495,4.2,1000478
479,東山牛肉湯,9,26,4.3,1000479
480,金捐香雞排,12,3,5.0,1000480
481,如是我聞韓式海苔飯捲白河店,6,20,4.6,1000481
482,文珍麵館,9,62,4.0,1000482
483,陽新刈包豆漿,6,96,4.2,1000483
484,香姐滷肉飯白河總店,9,68,4.4,1000484
485,籃記豆花,16,42,4.3,1000485
486,古早味陽春麵,6,60,4.3,1000486
487,桔香蜜,48,32,4.2,1000487
488,福虎北方蔥油餅,6,24,4.8,1000488
489,早安美芝城白河活力三民,2,92,4.0,1000489
490,古早味黑糖刨冰,6,141,4.3,1000490
491,永和四海豆漿,2,26,4.1,1000491
492,永樂關廟肉粿,24,12,4.9,1000492
493,壽司控,30,24,4.3,1000493
494,南鯤鯓海產店,6,358,4.3,1000494
495,九湯屋日本拉麵—佳里店,67,263,4.1,1000495
496,味沙無煙鐵板燒,51,167,4.4,1000496
497,光合作用精選早午餐店,23,196,4.4,1000497
498,豆鮮屋,2,20,4.3,1000498
499,北海鍋燒粥品專賣店,37,14,4.5,1000499
500,佳里福品軒素食店06-7230558負責人李咨吟,22,23,4.3,1000500
501,晨間廚房早午餐白河新興店/蛋餅/早餐/麵/,23,29,4.3,1000501
502,花開富粿,6,44,4.6,1000502
503,DoDo's 手工火烤披薩,45,11,3.8,1000503
504,拉亞漢堡 白河國泰,23,122,4.0,1000504
505,三媽臭臭鍋白河店,21,17,4.2,1000505
