S_id,Type,Name,Location_ID
20481,2,垃圾車4076,200481
20482,2,垃圾車4077,200482
20483,2,垃圾車4078,200483
20484,2,垃圾車4079,200484
20485,2,垃圾車4080,200485
20486,2,垃圾車4081,200486
20487,2,垃圾車4082,200487
20488,2,垃圾車4083,200488
20489,2,垃圾車4084,200489
20490,2,垃圾車4085,200490
20491,2,垃圾車4086,200491
20492,2,垃圾車4087,200492
20493,2,垃圾車4088,200493
20494,2,垃圾車4089,200494
20495,2,垃圾車4090,200495
20496,2,垃圾車4091,200496
20497,2,垃圾車4092,200497
20498,2,垃圾車4093,200498
20499,2,垃圾車4094,200499
20500,2,垃圾車4095,200500
20501,2,垃圾車4096,200501
20502,2,垃圾車4097,200502
20503,2,垃圾車4098,200503
20504,2,垃圾車4099,200504
20505,2,垃圾車4100,200505
20506,2,垃圾車4101,200506
20507,2,垃圾車4102,200507
20508,2,垃圾車4103,200508
20509,2,垃圾車4104,200509
20510,2,垃圾車4105,200510
20511,2,垃圾車4106,200511
20512,2,垃圾車4107,200512
20513,2,垃圾車4108,200513
20514,2,垃圾車4109,200514
20515,2,垃圾車4110,200515
20516,2,垃圾車4111,200516
20517,2,垃圾車4112,200517
20518,2,垃圾車4113,200518
20519,2,垃圾車4114,200519
20520,2,垃圾車4115,200520
20521,2,垃圾車4116,200521
20522,2,垃圾車4117,200522
20523,2,垃圾車4118,200523
20524,2,垃圾車4119,200524
20525,2,垃圾車4120,200525
20526,2,垃圾車4121,200526
20527,2,垃圾車4122,200527
20528,2,垃圾車4123,200528
20529,2,垃圾車4124,200529
20530,2,垃圾車4125,200530
20531,2,垃圾車4126,200531
20532,2,垃圾車4127,200532
20533,2,垃圾車4128,200533
20534,2,垃圾車4129,200534
20535,2,垃圾車4130,200535
20536,2,垃圾車4131,200536
20537,2,垃圾車4132,200537
20538,2,垃圾車4133,200538
20539,2,垃圾車4134,200539
20540,2,垃圾車4135,200540
20541,2,垃圾車4136,200541
20542,2,垃圾車4137,200542
20543,2,垃圾車4138,200543
20544,2,垃圾車4139,200544
20545,2,垃圾車4140,200545
20546,2,垃圾車4141,200546
20547,2,垃圾車4142,200547
20548,2,垃圾車4143,200548
20549,2,垃圾車4144,200549
20550,2,垃圾車4145,200550
20551,2,垃圾車4146,200551
20552,2,垃圾車4147,200552
20553,2,垃圾車4148,200553
20554,2,垃圾車4149,200554
20555,2,垃圾車4150,200555
20556,2,垃圾車4151,200556
20557,2,垃圾車4152,200557
20558,2,垃圾車4153,200558
20559,2,垃圾車4154,200559
20560,2,垃圾車4155,200560
20561,2,垃圾車4156,200561
20562,2,垃圾車4157,200562
20563,2,垃圾車4158,200563
20564,2,垃圾車4159,200564
20565,2,垃圾車4160,200565
20566,2,垃圾車4161,200566
20567,2,垃圾車4162,200567
20568,2,垃圾車4163,200568
20569,2,垃圾車4164,200569
20570,2,垃圾車4165,200570
20571,2,垃圾車4166,200571
20572,2,垃圾車4167,200572
20573,2,垃圾車4168,200573
20574,2,垃圾車4169,200574
20575,2,垃圾車4170,200575
20576,2,垃圾車4171,200576
20577,2,垃圾車4172,200577
20578,2,垃圾車4173,200578
20579,2,垃圾車4174,200579
20580,2,垃圾車4175,200580
20581,2,垃圾車4176,200581
20582,2,垃圾車4177,200582
20583,2,垃圾車4178,200583
20584,2,垃圾車4179,200584
20585,2,垃圾車4180,200585
20586,2,垃圾車4181,200586
20587,2,垃圾車4182,200587
20588,2,垃圾車4183,200588
20589,2,垃圾車4184,200589
20590,2,垃圾車4185,200590
20591,2,垃圾車4186,200591
20592,2,垃圾車4187,200592
20593,2,垃圾車4188,200593
20594,2,垃圾車4189,200594
20595,2,垃圾車4190,200595
20596,2,垃圾車4191,200596
20597,2,垃圾車4192,200597
20598,2,垃圾車4193,200598
20599,2,垃圾車4194,200599
20600,2,垃圾車4195,200600
20601,2,垃圾車4196,200601
20602,2,垃圾車4197,200602
20603,2,垃圾車4198,200603
20604,2,垃圾車4199,200604
20605,2,垃圾車4200,200605
20606,2,垃圾車4201,200606
20607,2,垃圾車4202,200607
20608,2,垃圾車4203,200608
20609,2,垃圾車4204,200609
20610,2,垃圾車4205,200610
20611,2,垃圾車4206,200611
20612,2,垃圾車4207,200612
20613,2,垃圾車4208,200613
20614,2,垃圾車4209,200614
20615,2,垃圾車4210,200615
20616,2,垃圾車4211,200616
20617,2,垃圾車4212,200617
20618,2,垃圾車4213,200618
20619,2,垃圾車4214,200619
20620,2,垃圾車4215,200620
20621,2,垃圾車4216,200621
20622,2,垃圾車4217,200622
20623,2,垃圾車4218,200623
20624,2,垃圾車4219,200624
20625,2,垃圾車4220,200625
20626,2,垃圾車4221,200626
20627,2,垃圾車4222,200627
20628,2,垃圾車4223,200628
20629,2,垃圾車4224,200629
20630,2,垃圾車4225,200630
20631,2,垃圾車4226,200631
20632,2,垃圾車4227,200632
20633,2,垃圾車4228,200633
20634,2,垃圾車4229,200634
20635,2,垃圾車4230,200635
20636,2,垃圾車4231,200636
20637,2,垃圾車4232,200637
20638,2,垃圾車4233,200638
20639,2,垃圾車4234,200639
20640,2,垃圾車4235,200640
20641,2,垃圾車4236,200641
20642,2,垃圾車4237,200642
20643,2,垃圾車4238,200643
20644,2,垃圾車4239,200644
20645,2,垃圾車4240,200645
20646,2,垃圾車4241,200646
20647,2,垃圾車4242,200647
20648,2,垃圾車4243,200648
20649,2,垃圾車4244,200649
20650,2,垃圾車4245,200650
20651,2,垃圾車4246,200651
20652,2,垃圾車4247,200652
20653,2,垃圾車4248,200653
20654,2,垃圾車4249,200654
20655,2,垃圾車4250,200655
20656,2,垃圾車4251,200656
20657,2,垃圾車4253,200657
20658,2,垃圾車4254,200658
